station,unit,start,finish,grams,wingband,seconds
WH201,3,14/11/2016 00:18:00,14/11/2016 00:19:15,-00001.00,3791152901401,000075
WH201,2,14/11/2016 00:36:02,14/11/2016 00:36:39,-00015.00,3791146761529,000037
WH201,2,14/11/2016 00:36:43,14/11/2016 00:41:57,-00160.00,3791146761529,000314
WH201,6,14/11/2016 00:40:44,14/11/2016 00:43:05,-00036.00,3791152941101,000141
WH201,2,14/11/2016 00:45:27,14/11/2016 00:47:21,-00029.00,3791146701733,000114
WH201,3,14/11/2016 00:46:34,14/11/2016 00:49:13,-00089.00,3791152901102,000159
WH201,8,14/11/2016 00:46:35,14/11/2016 00:47:10,-00041.00,3791149861014,000035
WH201,4,14/11/2016 00:47:30,14/11/2016 00:48:34,-00018.00,3791146741130,000064
WH201,6,14/11/2016 00:47:41,14/11/2016 00:48:24,-00041.00,3791146761330,000043
WH201,2,14/11/2016 00:47:46,14/11/2016 00:48:11,-00015.00,3791146701733,000025
WH201,5,14/11/2016 00:48:02,14/11/2016 00:48:45,-00053.00,3791146761331,000043
WH201,7,14/11/2016 00:48:19,14/11/2016 00:48:57,-00013.00,3791152951006,000038
WH201,2,14/11/2016 00:48:20,14/11/2016 00:49:12,-00045.00,3791146741532,000052
WH201,1,14/11/2016 00:48:37,14/11/2016 00:49:32,-00023.00,3791149801308,000055
WH201,6,14/11/2016 00:48:46,14/11/2016 00:50:14,-00041.00,3791149811116,000088
WH201,4,14/11/2016 00:49:02,14/11/2016 00:49:45,-00030.00,3791149801113,000043
WH201,2,14/11/2016 00:49:20,14/11/2016 00:50:21,-00049.00,3791143631639,000061
WH201,5,14/11/2016 00:49:29,14/11/2016 00:52:00,-00055.00,3791152951001,000151
WH201,3,14/11/2016 00:49:33,14/11/2016 00:49:44,-00022.00,3791152921503,000011
WH201,8,14/11/2016 00:49:37,14/11/2016 00:50:27,-00025.00,3791149801716,000050
WH201,7,14/11/2016 00:49:43,14/11/2016 00:50:28,-00020.00,3791152951006,000045
WH201,4,14/11/2016 00:49:53,14/11/2016 00:50:38,-00048.00,3791146741035,000045
WH201,3,14/11/2016 00:50:30,14/11/2016 00:53:38,-00057.00,3791143641445,000188
WH201,7,14/11/2016 00:50:30,14/11/2016 00:51:48,-00020.00,3791152951006,000078
WH201,2,14/11/2016 00:50:36,14/11/2016 00:50:58,-00019.00,3791143631639,000022
WH201,6,14/11/2016 00:50:36,14/11/2016 00:51:56,-00040.00,3791146701229,000080
WH201,1,14/11/2016 00:50:52,14/11/2016 00:51:33,-00028.00,3791143631045,000041
WH201,4,14/11/2016 00:50:56,14/11/2016 00:52:21,-00054.00,3791143651044,000085
WH201,2,14/11/2016 00:51:09,14/11/2016 00:51:51,-00059.00,3791149861010,000042
WH201,1,14/11/2016 00:51:41,14/11/2016 00:51:55,-00006.00,3791143631045,000014
WH201,5,14/11/2016 00:52:01,14/11/2016 00:53:27,-00028.00,3791152951001,000086
WH201,1,14/11/2016 00:52:16,14/11/2016 00:53:11,-00034.00,3791143641447,000055
WH201,6,14/11/2016 00:52:27,14/11/2016 00:53:29,-00019.00,3791146741130,000062
WH201,7,14/11/2016 00:52:58,14/11/2016 00:54:03,-00044.00,3791143621264,000065
WH201,8,14/11/2016 00:53:01,14/11/2016 00:53:25,-00017.00,3791149861014,000024
WH201,2,14/11/2016 00:53:46,14/11/2016 00:55:01,-00045.00,3791146701529,000075
WH201,6,14/11/2016 00:54:52,14/11/2016 00:55:40,-00011.00,3791149801517,000048
WH201,2,14/11/2016 00:55:03,14/11/2016 00:55:27,-00013.00,3791146701529,000024
WH201,2,14/11/2016 00:55:28,14/11/2016 00:55:54,-00009.00,3791146701529,000026
WH201,3,14/11/2016 00:56:47,14/11/2016 00:57:28,-00017.00,3791146761630,000041
WH201,3,14/11/2016 00:57:29,14/11/2016 00:57:47,-00008.00,3791146761630,000018
WH201,3,14/11/2016 00:57:51,14/11/2016 00:58:58,-00034.00,3791146761630,000067
WH201,4,14/11/2016 00:59:20,14/11/2016 00:59:39,-00004.00,3791146761630,000019
WH201,3,14/11/2016 00:59:34,14/11/2016 01:01:17,-00004.00,3791149841110,000103
WH201,5,14/11/2016 01:00:50,14/11/2016 01:00:55,-00001.00,3791152951005,000005
WH201,2,14/11/2016 01:00:55,14/11/2016 01:03:53,-00050.00,3791146701733,000178
WH201,5,14/11/2016 01:01:36,14/11/2016 01:02:57,-00041.00,3791143601639,000081
WH201,5,14/11/2016 01:03:13,14/11/2016 01:03:53,-00017.00,3791143601639,000040
WH201,2,14/11/2016 01:03:56,14/11/2016 01:04:41,-00006.00,3791146701733,000045
WH201,2,14/11/2016 01:04:44,14/11/2016 01:05:15,-00006.00,3791146701733,000031
WH201,2,14/11/2016 01:05:42,14/11/2016 01:06:04,-00005.00,3791146701733,000022
WH201,2,14/11/2016 02:30:39,14/11/2016 02:33:45,-00073.00,3791149801308,000186
WH201,8,14/11/2016 02:39:24,14/11/2016 02:46:02,-00131.00,3791149861203,000398
WH201,4,14/11/2016 02:51:49,14/11/2016 02:52:21,-00003.00,3791143641646,000032
WH201,4,14/11/2016 02:52:22,14/11/2016 02:54:28,-00025.00,3791143641646,000126
WH201,4,14/11/2016 02:54:29,14/11/2016 02:55:12,-00011.00,3791143641646,000043
WH201,4,14/11/2016 02:55:25,14/11/2016 02:57:34,-00031.00,3791143641646,000129
WH201,7,14/11/2016 05:46:59,14/11/2016 05:47:24,-00004.00,3791143651047,000025
WH201,2,14/11/2016 05:47:04,14/11/2016 05:47:25,-00006.00,3791149801308,000021
WH201,1,14/11/2016 05:47:07,14/11/2016 05:49:32,-00060.00,3791143641447,000145
WH201,2,14/11/2016 05:47:32,14/11/2016 05:49:52,-00054.00,3791149801308,000140
WH201,4,14/11/2016 05:47:44,14/11/2016 05:48:19,-00020.00,3791149801113,000035
WH201,7,14/11/2016 05:47:46,14/11/2016 05:49:24,-00027.00,3791152951006,000098
WH201,8,14/11/2016 05:47:54,14/11/2016 05:48:22,-00008.00,3791143651047,000028
WH201,6,14/11/2016 05:48:11,14/11/2016 05:49:12,-00027.00,3791152941101,000061
WH201,4,14/11/2016 05:48:21,14/11/2016 05:48:37,-00010.00,3791149801113,000016
WH201,8,14/11/2016 05:48:31,14/11/2016 05:48:48,-00003.00,3791143651047,000017
WH201,5,14/11/2016 05:48:34,14/11/2016 05:49:30,-00035.00,3791146761331,000056
WH201,3,14/11/2016 05:49:09,14/11/2016 05:49:38,-00029.00,3791152951401,000029
